educations-end_date,educations-field_of_study,educations-school-name,positions-is-current,num-connections,industry-specialization
31/12/1995,16,NEW ERA UNIVERSITY,0,202,16
31/12/2010,14,COLLEGE EDUCATION SCHOOL: UNIVERSITY OF SAN CARLOS,0,15,16
31/12/2005,16,WESTERN INSTITURE OF TECHNOLOGY,0,24,16
31/12/2001,16,UNIVERSITY OF SAN CARLOS,0,100,16
31/12/1996,16,UNIVERSITY OF CEBU,0,19,16
31/12/2005,7,"CEBU CENTER FOR SKILLS DEVELOPMENT AND TRAINING, INC",0,2,16
31/12/1995,6,UNIVERSITY OF SAN JOSE - RECOLETOS,0,276,16
31/12/1988,16,ATENEO DE MANILA UNIVERSITY,0,17,4
31/12/2007,16,UNIVERSITY OF SOUTH AFRICA/UNIVERSITEIT VAN SUID-AFRIKA,0,46,16
31/12/2010,6,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES,1,15,4
31/12/1981,16,UNIVERSITY OF THE IMMACULATE CONCEPTION,0,0,0
31/12/2010,16,CEBU NORMAL UNIVERSITY,0,6,5
31/12/2006,16,UNIVERSITY OF CEBU,0,2,4
31/12/2005,10,INTERNATIONAL ACADEMY FOR MANAGEMENT AND ECONOMICS,0,16,8
31/12/2007,16,EMILIO AGUINALDO COLLEGE,0,1,10
